id,city_id,name,lat,long
8500,897,لک پشت,37.103247225860066,50.113534927368164
8495,897,مرزلات,37.109989668726115,50.12743949890137
8513,897,مرکز شهر,37.10969876353074,50.111002922058105
8358,898,انارستان محله,37.09513496369756,50.18726348876953
8349,898,پایین املش,37.09249914726949,50.193142890930176
8356,898,جاده چمنستان,37.13267683085885,50.19481658935546
8355,898,جاده سورکوه,37.110503028109626,50.22502899169922
8350,898,سرچور,37.09373148844043,50.1815128326416
8348,898,شیخ علی محله,37.09948214891143,50.18923759460449
8353,898,کمربندی,37.08667948764112,50.1994514465332
8351,898,کیازنیک,37.09845527726728,50.1774787902832
8354,898,کیاکلایه,37.095853806810894,50.21009445190429
8352,898,مرکز شهر,37.09623034095812,50.18271446228027
8357,898,ییلاقات,37.06312241917559,50.19052505493163
8306,899,امام خمینی,38.426445526935204,48.869343996047974
8299,899,باغچه سرا,38.44683327964899,48.83525848388672
8540,899,بلوار بسیج,38.41314752680713,48.868775367736816
8302,899,بیجاربین,38.42884932888259,48.832426071166985
8537,899,جلال آباد,38.44452250880755,48.854827880859375
8308,899,حکیم نظامی,38.437051910712924,48.8701057434082
8309,899,حیران,38.370732250376854,48.668060302734375
8536,899,خیابان ملت,38.421503193263035,48.87594223022461
8303,899,دربند,38.36023390988088,48.84349822998047
8307,899,رستمیان,38.418090432165556,48.86590003967285
8296,899,شهرک عباس آباد,38.37746115487395,48.8671875
8300,899,شهرک هجرت,38.39979663000095,48.78204345703125
8297,899,عباس آباد,38.38311295104818,48.84315490722656
8539,899,عسکرآباد,38.42626061577899,48.80882263183594
8301,899,عنبران محله,38.43940493840351,48.793158531188965
8304,899,فارابی,38.429437659828295,48.87718677520752
8310,899,کشاورز,38.42723559654225,48.86529922485351
8363,899,کوی فرهنگیان,38.433421374684826,48.82092475891113
8305,899,مطهری,38.41333247153257,48.877015113830566
8298,899,ویرمونی,38.41338291092098,48.83255481719971
8538,899,هودول,38.373558466483736,48.805904388427734
8107,900,16متری بهشتی,37.27282340742767,49.93932008743286
8103,900,آبیاری,37.25699305644066,49.948461055755615
8106,900,آقاسید حسن,37.27692133785639,49.94736671447753
8102,900,استقلال,37.26065636237026,49.93808627128601
8422,900,امام خمینی,37.26112600409169,49.94453430175781
8542,900,بلوار امام حسین,37.2569418201294,49.95230197906494
8123,900,بلوار خوش سیرت,37.2694082950026,49.955949783325195
8541,900,بلوار گلها,37.28013122754488,49.93605852127075
8122,900,بلوار مطهری,37.269664433807776,49.936702251434326
8105,900,بلوار معین,37.27234530101361,49.94256019592285
8124,900,جاده رودبنه,37.27432600781959,49.978179931640625
8111,900,جاده کیاشهر,37.31420225207282,49.95826721191406
8099,900,جاده کیسم,37.23572699373354,49.8817491531372
8115,900,جاده لاهیجان,37.24303841349834,49.953975677490234
8109,900,چهارده,37.22841486479838,49.81544494628906
8118,900,دهشال,37.3185709661936,50.03396987915039
8121,900,عبدل آباد,37.264490260975215,49.91861343383789
8100,900,فردوسی,37.253175855838926,49.94483470916748
8101,900,فلسطین,37.25679665039153,49.94236707687378
8110,900,کورکا,37.27883362904775,49.9288272857666
8113,900,لفوت,37.304713076539926,49.90814208984375
8119,900,مرکز شهر,37.262645915406026,49.95002746582031
8120,900,مصطفی دوست,37.269715661464275,49.9343204498291
8112,900,نازکسرا,37.31693272815349,49.931488037109375
8679,901,دلیوندان,37.29460817756683,49.36586380004883
8672,901,زیمسار,37.27709208011652,49.40770626068115
8675,901,شیخ محله,37.35214697629814,49.43246841430664
8678,901,صیقل وندان,37.32996938385842,49.383201599121094
8680,901,فلاح آباد,37.260391653927705,49.362945556640625
8671,901,کلاشم بالا,37.27282340742767,49.41955089569092
8670,901,گوراب لیشاوندان,37.27125247495163,49.429378509521484
8676,901,لیفشاگرد,37.32614735265115,49.433326721191406
8677,901,ماتک,37.300958036111574,49.40929412841797
8674,901,مردخه بزرگ,37.29057949477698,49.37822341918945
8673,901,مردخه کوچک,37.28084831185389,49.392127990722656
8681,901,مرکز شهر,37.27821896932014,49.37322378158569
8625,902,استخرکوه,36.79952598333174,49.81733322143555
8624,902,طالکوه,36.82412656548072,49.6940803527832
8627,902,گلنکش,36.859982519008156,49.740943908691406
8628,902,مرکز شهر,36.772511215315134,49.74922657012939
8147,903,آخر خط,37.47826385660657,49.44650173187256
8137,903,آذربایجان,37.47083907481295,49.47890281677246
8129,903,بشمن,37.48412142074285,49.374446868896484
8133,903,بلوار اطبا,37.474789967955196,49.487571716308594
8136,903,بلوار نجفی,37.46913603922164,49.48774337768555
8125,903,پاسداران,37.486811659680065,49.41933631896973
8153,903,پرستار,37.48650518165273,49.40568923950195
8144,903,پیشوایی,37.45850822071285,49.50070381164551
8141,903,پیل علی باغ,37.463652001006324,49.442811012268066
